+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                       ;
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                   ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; usbsys_instance|mm_interconnect_0|cpu_debug_mem_slave_agent_rsp_fifo                                                                                        ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|cpu_debug_mem_slave_agent|uncompressor                                                                                    ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|cpu_debug_mem_slave_agent                                                                                                 ; 309   ; 39             ; 48           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|sysid_qsys_0_control_slave_agent_rsp_fifo                                                                                 ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|sysid_qsys_0_control_slave_agent|uncompressor                                                                             ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|sysid_qsys_0_control_slave_agent                                                                                          ; 309   ; 39             ; 48           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent_rsp_fifo                                                                                ; 153   ; 39             ; 0            ; 39             ; 112    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent|uncompressor                                                                            ; 45    ; 1              ; 0            ; 1              ; 43     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|jtag_uart_avalon_jtag_slave_agent                                                                                         ; 309   ; 39             ; 48           ; 39             ; 331    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|cpu_instruction_master_agent                                                                                              ; 196   ; 39             ; 89           ; 39             ; 145    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|cpu_data_master_agent                                                                                                     ; 196   ; 39             ; 89           ; 39             ; 145    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|to_sw_port_s1_translator                                                                                                  ; 112   ; 6              ; 30           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|to_sw_sig_s1_translator                                                                                                   ; 112   ; 6              ; 30           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|to_hw_sig_s1_translator                                                                                                   ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|to_hw_port_s1_translator                                                                                                  ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|sdram_s1_translator                                                                                                       ; 112   ; 4              ; 4            ; 4              ; 98     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|keycode_s1_translator                                                                                                     ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|clock_crossing_io_s0_translator                                                                                           ; 112   ; 4              ; 7            ; 4              ; 96     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|clocks_pll_slave_translator                                                                                               ; 112   ; 6              ; 27           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|cpu_debug_mem_slave_translator                                                                                            ; 112   ; 5              ; 20           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|sysid_qsys_0_control_slave_translator                                                                                     ; 112   ; 6              ; 28           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|jtag_uart_avalon_jtag_slave_translator                                                                                    ; 112   ; 5              ; 31           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|cpu_instruction_master_translator                                                                                         ; 113   ; 51             ; 0            ; 51             ; 105    ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0|cpu_data_master_translator                                                                                                ; 113   ; 12             ; 0            ; 12             ; 105    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|mm_interconnect_0                                                                                                                           ; 461   ; 0              ; 0            ; 0              ; 425    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|to_sw_sig                                                                                                                                   ; 4     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|to_sw_port                                                                                                                                  ; 4     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|to_hw_sig                                                                                                                                   ; 38    ; 30             ; 30           ; 30             ; 32     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|to_hw_port                                                                                                                                  ; 38    ; 24             ; 24           ; 24             ; 32     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|sysid_qsys_0                                                                                                                                ; 3     ; 15             ; 2            ; 15             ; 32     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|sdram|the_usb_system_sdram_input_efifo_module                                                                                               ; 66    ; 0              ; 0            ; 0              ; 66     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|sdram                                                                                                                                       ; 66    ; 1              ; 1            ; 1              ; 58     ; 1               ; 1             ; 1               ; 32    ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|keycode                                                                                                                                     ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                                              ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                                        ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram1                                                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                                             ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                                              ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                                          ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated|dpfifo                                                                     ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r|rfifo|auto_generated                                                                            ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_r                                                                                                 ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                              ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                        ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram1                                                 ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                             ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                              ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                          ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated|dpfifo                                                                     ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w|wfifo|auto_generated                                                                            ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart|the_usb_system_jtag_uart_scfifo_w                                                                                                 ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|jtag_uart                                                                                                                                   ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_debug_slave_wrapper|the_usb_system_cpu_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_debug_slave_wrapper|the_usb_system_cpu_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_debug_slave_wrapper                                                         ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_ocimem|usb_system_cpu_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_ocimem|usb_system_cpu_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_ocimem                                                                ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_avalon_reg                                                            ; 48    ; 0              ; 27           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_im                                                                ; 96    ; 36             ; 92           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_pib                                                               ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_fifo|the_usb_system_cpu_cpu_oci_test_bench                        ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_fifo|the_usb_system_cpu_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_fifo|the_usb_system_cpu_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_fifo|the_usb_system_cpu_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_fifo                                                              ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_dtrace|usb_system_cpu_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_dtrace                                                            ; 114   ; 0              ; 103          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_itrace                                                            ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_dbrk                                                              ; 99    ; 0              ; 0            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_xbrk                                                              ; 65    ; 5              ; 62           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_break                                                             ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci|the_usb_system_cpu_cpu_nios2_oci_debug                                                             ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_nios2_oci                                                                                                    ; 180   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|usb_system_cpu_cpu_register_bank_b|the_altsyncram|auto_generated                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|usb_system_cpu_cpu_register_bank_b                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|usb_system_cpu_cpu_register_bank_a|the_altsyncram|auto_generated                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|usb_system_cpu_cpu_register_bank_a                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu|the_usb_system_cpu_cpu_test_bench                                                                                                   ; 559   ; 3              ; 525          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu|cpu                                                                                                                                     ; 149   ; 1              ; 30           ; 1              ; 133    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|cpu                                                                                                                                         ; 149   ; 0              ; 0            ; 0              ; 132    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clocks|sd1                                                                                                                                  ; 3     ; 1              ; 0            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clocks|stdsync2|dffpipe3                                                                                                                    ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clocks|stdsync2                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clocks                                                                                                                                      ; 38    ; 30             ; 30           ; 30             ; 34     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[8].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[7].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[6].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[5].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[4].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[3].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[2].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[1].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser|sync[0].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|read_crosser                                                                                                     ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[8].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[7].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[6].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[5].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[4].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[3].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[2].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[1].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser|sync[0].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo|write_crosser                                                                                                    ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|rsp_fifo                                                                                                                  ; 113   ; 76             ; 0            ; 76             ; 43     ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|read_crosser|sync[5].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|read_crosser|sync[4].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|read_crosser|sync[3].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|read_crosser|sync[2].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|read_crosser|sync[1].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|read_crosser|sync[0].u                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|read_crosser                                                                                                     ; 8     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|write_crosser|sync[5].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; usbsys_instance|clock_crossing_io|cmd_fifo|write_crosser|sync[4].u                                                                                          ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
